Name,UTC Offset (SDT),UTC Offset (DST)
Asia/Omsk,+06:00,+06:00
Asia/Oral,+05:00,+05:00
Asia/Pontianak,+07:00,+07:00
Asia/Pyongyang,+09:00,+09:00
Asia/Qatar,+03:00,+03:00
Asia/Qostanay,+05:00,+05:00
Asia/Qyzylorda,+05:00,+05:00
Asia/Riyadh,+03:00,+03:00
Asia/Sakhalin,+11:00,+11:00
Asia/Samarkand,+05:00,+05:00
Asia/Seoul,+09:00,+09:00
Asia/Shanghai,+08:00,+08:00
Asia/Singapore,+08:00,+08:00
Asia/Srednekolymsk,+11:00,+11:00
Asia/Taipei,+08:00,+08:00
Asia/Tashkent,+05:00,+05:00
Asia/Tbilisi,+04:00,+04:00
Asia/Tehran,+03:30,+03:30
Asia/Thimphu,+06:00,+06:00
Asia/Tokyo,+09:00,+09:00
Asia/Tomsk,+07:00,+07:00
Asia/Ulaanbaatar,+08:00,+08:00
Asia/Urumqi,+06:00,+06:00
Asia/Ust-Nera,+10:00,+10:00
Asia/Vladivostok,+10:00,+10:00
Asia/Yakutsk,+09:00,+09:00
Asia/Yangon,+06:30,+06:30
Asia/Yekaterinburg,+05:00,+05:00
Asia/Yerevan,+04:00,+04:00
Atlantic/Azores,-01:00,+00:00
Atlantic/Bermuda,-04:00,-03:00
Atlantic/Canary,+00:00,+01:00
Atlantic/Cape_Verde,-01:00,-01:00
Atlantic/Faroe,+00:00,+01:00
Atlantic/Madeira,+00:00,+01:00
Atlantic/South_Georgia,-02:00,-02:00
Atlantic/Stanley,-03:00,-03:00
Australia/Adelaide,+09:30,+10:30
Australia/Brisbane,+10:00,+10:00
Australia/Broken_Hill,+09:30,+10:30
Australia/Darwin,+09:30,+09:30
Australia/Eucla,+08:45,+08:45
Australia/Hobart,+10:00,+11:00
Australia/Lindeman,+10:00,+10:00
Australia/Lord_Howe,+10:30,+11:00
Australia/Melbourne,+10:00,+11:00
Australia/Perth,+08:00,+08:00
Australia/Sydney,+10:00,+11:00
