IATA,ICAO,Airport Name,Country Code
EPU,EEPU,Parnu,EE
EQS,SAVE,Esquel Airport,AR
ERA,HCMU,Erigavo,SO
ERB,YERN,Ernabella,AU
ERC,LTCD,Erzincan Airport,TR
ERD,UKDB,Berdyansk,UA
ERE,AYEV,Erave,PG
ERF,EDDE,Erfurt Airport,DE
ERG,UIKE,Erbogachen Airport,RU
ERH,GMFK,Moulay Ali Cherif Airport,MA
ERI,KERI,Erie International Airport,US
ERL,ZBER,Eren Hot Airport,CN
ERM,SSER,Comandante Kraemer,BR
ERN,SWEI,Eirunepe,BR
ERQ,YESE,Elrose Mine,AU
ERR,KERR,Errol,US
ERS,FYWE,Eros Airport,NA
ERU,AYER,Erume,PG
ERV,KERV,Kerrville,US
ERZ,LTCE,Erzurum Airport,TR
ESB,LTAC,Esenboga International Airport,TR
ESC,KESC,Delta County Airport,US
ESD,KORS,Orcas Island Airport,US
ESE,MMES,Ensenada,MX
ESF,KESF,Esler Field,US
ESG,SGME,Mariscal Estigarribia,PY
ESH,EGKA,Shoreham,GB
ESI,SBEP,Espinosa,BR
ESK,LTBI,Eskisehir,TR
ESL,URWI,Elista Airport,RU
ESM,SETN,Esmeraldas Airport,EC
ESN,KESN,Easton,US
ESO,E14,Espanola,US
ESP,KN53,Birchwood-Pocono,US
ESR,SCES,El Salvador,CL
ESS,EDLE,Essen,DE
EST,KEST,Municipal,US
ESU,GMMI,Essaouira Airport,MA
ESW,KESW,State,US
ETB,KETB,West Bend,US
ETD,YEDA,Etadunna,AU
ETE,HAMM,Genda Wuha,ET
ETH,LLET,Eilat Airport,IL
ETL,UHTQ,Svetlaya Airport,RU
ETM,LLER,Ramon Airport,IL
ETN,KETN,Municipal,US
ETR,SERO,Coronel Artilleria Victor Larrea Airport,EC
ETS,KEDN,Municipal,US
ETZ,LFJL,Metz-Nancy-Lorraine Airport,FR
EUA,NFTE,Kaufana,TO
EUC,YECL,Eucla,AU
EUE,05U,Eureka,US
EUF,KEUF,Weedon Field,US
EUG,KEUG,Eugene Airport,US
EUM,EDHN,Neumuenster,DE
EUN,GMML,Hassan I Airport,MA
EUQ,RPVS,Evelio Javier,PH
EUX,TNCE,F D Roosevelt Airport,NL
EVA,4TE8,Landing Strip,US
EVD,YEVA,Eva Downs,AU
EVE,ENEV,Harstad/Narvik Airport Evenes,NO
EVG,ESND,Sveg Airport,SE
EVH,YEVD,Evans Head,AU
EVM,KEVM,Eveleth,US
EVN,UDYZ,Zvartnots International Airport,AM
EVV,KEVV,Evansville Regional Airport,US
EVW,KEVW,Evanston,US
EVX,LFOE,Evreux,FR
EWB,KEWB,New Bedford Airport,US
EWI,WABT,Enarotali,ID
EWK,KEWK,City-County,US
EWN,KEWN,Coastal Carolina Regional Airport,US
EWO,FCOE,Ewo,CG
EWR,KEWR,Newark Liberty International Airport,US
EXM,YEXM,Exmouth Gulf,AU
EXT,EGTE,Exeter International Airport,GB
EYK,USHQ,Beloyarsky Airport,RU
EYL,GAYE,Yelimane,ML
EYP,SKYP,El Yopal Airport,CO
EYR,O43,Yerington,US
EYS,HKES,Eliye Springs,KE
EYW,KEYW,Key West International Airport,US
EZE,SAEZ,Ministro Pistarini Airport,AR
EZS,LTCA,Elazig Airport,TR
EZV,USHB,Berezovo,RU
FAA,GUFH,Faranah,GN
FAB,EGLF,Farnborough,GB
FAC,NTKF,Faaite,PF
FAE,EKVG,Vagar Airport,FO
FAF,KFAF,Felker AAF,US
FAG,BIFM,Fagurholsmyri,IS
FAH,OAFR,Farah,AF
FAI,PAFA,Fairbanks International Airport,US
FAJ,TJFA,Diego Jimenez Torres,PR
FAK,2Z6,False Island,US
FAM,KFAM,Regional,US
FAO,LPFR,Faro Airport,PT
FAQ,AYFR,Freida River,PG
FAR,KFAR,Hector International Airport,US
FAS,BIFF,Faskrudsfjordur,IS
FAT,KFAT,Fresno Yosemite International Airport,US
FAU,OOFD,Fahud,OM
FAV,NTGF,Fakarava Airport,PF
FAY,KFAY,Fayetteville Regional Airport,US
FAZ,OISF,Fasa,IR
FBA,SWOB,Fonte Boa,BR
FBD,OAFZ,Faizabad Airport,AF
FBE,SSFB,Francisco Beltrao,BR
FBG,KFBG,Simmons AAF,US
FBK,PAFB,Ft Wainwright,US
FBL,KFBL,Municipal,US
FBM,FZQA,Lubumbashi International Airport,CD
FBR,KFBR,Fort Bridger,US
FBS,W33,Friday Harbor SPB,US
FBY,KFBY,Municipal,US
FCA,KGPI,Glacier Park International Airport,US
FCB,FAFB,Ficksburg Sentra Oes,ZA
FCH,KFCH,Fresno-Chandler,US
FCM,KFCM,Flying Cloud Airport,US
FCN,ETMN,Cuxhaven/Nordholz,DE
FCO,LIRF,Leonardo da Vinci-Fiumicino Airport,IT
FCS,KFCS,Butts AAF,US
FCY,KFCY,Municipal,US
FDE,ENBL,Bringeland Airport,NO
FDF,TFFF,Martinique Aime Cesaire International Airport,MQ
FDH,EDNY,Friedrichshafen Airport,DE
FDK,KFDK,Frederick Municipal,US
FDR,KFDR,Municipal,US
FDU,FZBO,Bandundu,CD
FDY,KFDY,Findlay,US
FEB,VNSR,Sanfebagar,NP
FEC,SDIY,Feira De Santana,BR
FEG,UTFF,Fergana Airport,UZ
FEJ,SNOU,Feijo,BR
FEK,DIFK,Ferkessedougou,CI
FEL,ETSF,Fuerstenfeldbruck,DE
FEN,SBFN,Fernando De Noronha Airport,BR
FEP,KFEP,Albertus,US
FET,KFET,Municipal,US
FEZ,GMFF,Fes-Saiss Airport,MA
FFA,KFFA,First Flight,US
FFD,EGVA,Fairford RAF Station,GB
FFL,KFFL,Municipal,US
FFM,KFFM,Fergus Falls,US
FFO,KFFO,Patterson AFB,US
FFT,KFFT,Capital City,US
FFU,SCFT,Futaleufu,CL
FGD,GQPF,Fderik,MR
FGI,NSFI,Fagali I Airport,WS
FGU,NTGB,Fangatau,PF
FHU,KFHU,Municipal,US
FHZ,NTKH,Fakahina,PF
FID,0B8,Elizabeth Field,US
FIE,EGEF,Fair Isle,GB
FIG,GUFA,Fria,GN
FIH,FZAA,N'djili Airport,CD
FIK,YFNE,Finke,AU
FIL,KFOM,Municipal,US
FIN,AYFI,Finschhafen,PG
FIZ,YFTZ,Fitzroy Crossing,AU
FJR,OMFJ,Al-Fujairah International,AE
FKB,EDSB,Baden-Airpark,DE
FKI,FZIC,Bangoka International Airport,CD
FKJ,RJNF,Fukui,JP
FKL,KFKL,Venango Regional Airport,US
FKN,KFKN,Municipal,US
FKQ,WASF,Fak Fak Airport,ID
FKS,RJSF,Fukushima Airport,JP
FLA,SKFL,Capitolio Airport,CO
FLB,SNQG,Cangapara,BR
FLD,KFLD,Fond Du Lac,US
FLF,EDXF,Schaferhaus,DE
FLG,KFLG,Flagstaff Pulliam Airport,US
FLH,EGZR,Flotta,GB
FLI,BIHT,Flateyri,IS
FLL,KFLL,Fort Lauderdale-Hollywood International Airport,US
FLM,SGFI,Filadelfia,PY
FLN,SBFL,Hercilio Luz International Airport,BR
FLO,KFLO,Florence Airport,US
FLP,KFLP,Flippin,US
FLR,LIRQ,Firenze-Peretola Airport,IT
FLS,YFLI,Flinders Island Airport,AU
FLT,FLT,Flat,US
FLV,KFLV,Sherman AAF,US
FLW,LPFL,Santa Cruz Airport,PT
FLX,KFLX,Fallon Municipal Airport,US
FLY,YFIL,Finley,AU
FLZ,WIMS,Ferdinand Lumban Tobing Airport,ID
FMA,SARF,El Pucu Airport,AR
FME,KFME,Tipton AAF,US
FMH,KFMH,Otis AFB,US
FMI,FZRF,Kalemie Airport,CD
FMM,EDJA,Memmingen Allgau Airport,DE
FMN,KFMN,Four Corners Regional Airport,US
FMO,EDDG,Munster Osnabruck International Airport,DE
FMS,KFSW,Municipal,US
FMY,KFMY,Page Field,US
FNA,GFLL,Lungi International Airport,SL
FNB,EDBN,Neubrandenburg,DE
FNC,LPMA,Madeira Airport,PT
FNE,AYFA,Fane,PG
FNG,DFEF,Fada Ngourma,BF
FNH,HAFN,Fincha,ET
FNI,LFTW,Garons Airport,FR
FNJ,ZKPY,Pyongyang Sunan International Airport,KP
FNL,KFNL,Municipalcipal Airport,US
FNR,PANR,SPB,US
FNT,KFNT,Bishop International Airport,US
FNU,LIER,Fenosu,IT
FOA,EGFO,Foula,GB
FOB,82CL,Fort Bragg,US
FOC,ZSFZ,Changle International Airport,CN
FOD,KFOD,Fort Dodge Airport,US
FOE,KFOE,Forbes Field,US
FOG,LIBF,Gino Lisa,IT
FOK,KFOK,Suffolk County,US
FOM,FKKM,Foumban,CM
FON,MRAN,Fortuna Airport,CR
FOO,WABF,Numfoor,ID
FOR,SBFZ,Pinto Martins Airport,BR
FOS,YFRT,Forrest,AU
FOT,YFST,Forster,AU
FOU,FOGF,Fougamou,GA
FPO,MYGF,Grand Bahama International Airport,BS
FPR,KFPR,St Lucie County,US
FPY,KFPY,Perry-Foley,US
FRA,EDDF,Frankfurt Airport,DE
FRB,YFBS,Forbes,AU
FRC,SIMK,Franca,BR
FRD,KFHR,Friday Harbor Airport,US
FRE,AGGF,Fera Island Airport,SB
FRG,KFRG,Republic Field,US
FRH,KFRH,Municipal,US
FRI,KFRI,Marshall AAF,US
FRK,FSSF,Fregate Island,SC
FRL,LIPK,Luigi Ridolfi,IT
FRM,KFRM,Fairmont,US
FRN,PAFR,Bryant AAF,US
FRO,ENFL,Flora Airport,NO
FRQ,AYFE,Feramin,PG
FRR,KFRR,Front Royal-Warren County,US
FRS,MGMM,Santa Elena Airport,GT
FRT,SCEV,Frutillar,CL
FRU,UCFM,Manas International Airport,KG
FRW,FBFT,Francistown Airport,BW
FRY,KIZG,Fryeburg,US
FRZ,ETHF,Fritzlar Airbase,DE
FSC,LFKF,Sud Corse Airport,FR
FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field),US
FSI,KFSI,Henry Post AAF,US
FSK,KFSK,Municipal,US
FSM,KFSM,Fort Smith Regional Airport,US
FSP,LFVP,Saint Pierre Airport,PM
FSS,EGQK,Kinloss,GB
FST,KFST,Pecos County,US
FSU,KFSU,Fort Sumner,US
FSZ,RJNS,Shizuoka Airport,JP
FTA,NVVF,Futuna Airport,VU
FTE,SAWC,El Calafate Airport,AR
FTI,NSFQ,Fitiuta,AS
FTK,KFTK,Godman AAF,US
FTU,FMSD,Marillac Airport,MG
FTW,KFTW,Meacham Field,US
FTX,FCOO,Owando,CG
FTY,KFTY,Fulton County,US
FUE,GCFV,Fuerteventura Airport,ES
FUG,ZSFY,Fuyang Airport,CN
FUJ,RJFE,Fukue Airport,JP
FUK,RJFF,Fukuoka Airport,JP
FUL,KFUL,Municipal,US
FUM,AYFU,Fuma,PG
FUN,NGFU,Funafuti Atol International Airport,TV
FUO,ZGFS,Fuoshan Airport,CN
FUT,NLWF,Futuna Island,WF
FVL,YFLO,Flora Valey,AU
FVM,VRMR,Fumawula,MV
FVR,YFRV,Forrest River Airport,AU
FWA,KFWA,Fort Wayne International Airport,US
FWH,KNFW,Fort Worth NAS Jrb/Carswell Field,US
FWL,PAFW,Farewell,US
FXE,KFXE,Fort Lauderdale Executive Airport,US
FXO,FQCB,Cuamba,MZ
FXY,KFXY,Municipal,US
FYJ,ZYFY,Fuyuan Dongji Airport,CN
FYM,KFYM,Municipal,US
FYN,ZWFY,Fuyun Koktokay Airport,CN
FYT,FTTY,Faya,TD
FYU,PFYU,Fort Yukon Airport,US
FYV,KFYV,Municipal (Drake Field),US
FZL,UBBF,Fuzuli International Airport,AZ
FZO,EGTG,Filton,GB
GAB,KGAB,Gabbs,US
GAC,MHGS,Gracias,HN
GAD,KGAD,Municipal,US
GAE,DTTG,Gabès Matmata International Airport,TN
GAF,DTTF,Gafsa,TN
GAG,KGAG,Gage,US
GAH,YGAY,Gayndah,AU
GAI,KGAI,Montgomery County,US
GAJ,RJSC,Junmachi Airport,JP
GAL,PAGA,Edward G. Pitka Sr. Airport,US
GAM,PAGM,Gambell Airport,US
GAN,VRMG,Gan/Seenu Airport,MV
GAO,MUGT,Los Canos Airport,CU
GAP,AYGP,Gusap,PG
GAQ,GAGO,Gao,ML
GAR,AYGI,Garaina,PG
GAS,HKGA,Garissa,KE
GAT,LFNA,Tallard,FR
GAU,VEGT,Lokpriya Gopinath Bordoloi International Airport,IN
GAW,VYGG,Gangaw,MM
GAX,FOGX,Gamba,GA
GAY,VEGY,Gaya Airport,IN
GAZ,AYGJ,Guasopa,PG
GBA,EGBP,Big Bay,VU
GBB,UBBQ,Gabala International Airport,AZ
GBC,AYGS,Gasuke,PG
GBD,KGBD,Great Bend,US
GBE,FBSK,Sir Seretse Khama International Airport,BW
GBF,AYNE,Negarbo,PG
GBG,KGBG,Galesburg,US
GBH,PAGB,Galbraith Lake,US
GBI,MYGM,Auxiliary Airfield,BS
GBJ,TFFM,Les Bases,GP
GBK,GFGK,Gbangbatok,SL
GBL,YGBI,Goulburn Island,AU
GBP,YGAM,Gamboola,AU
GBR,KGBR,Walter J. Koladza Airport,US
GBT,OING,Gorgon Airport,IR
GBU,HSKG,Khashm El Girba,SD
GBV,YGIB,Gibb River,AU
GBW,YGIA,Ginbata Airport,AU
GBZ,NZGB,Great Barrier Island,NZ
GCC,KGCC,Campbell County Airport,US
GCD,3W7,Grand Coulee Dam,US
GCH,OIAH,Gachsaran,IR
GCI,EGJB,Guernsey Airport,GG
GCJ,FAGC,Grand Central,ZA
GCK,KGCK,Garden City Municipal Airport,US
GCM,MWCR,Owen Roberts International Airport,KY
GCN,KGCN,National Park,US
GCW,K1G4,Grand Canyon West,US
GCY,KGCY,Municipal,US
GDB,VAGD,Gondia Airport,IN
GDC,KGYH,Donaldson Center,US
GDD,YGDN,Gordon Downs,AU
GDE,HAGO,Gode/Iddidole Airport,ET
GDG,UHBI,Magdagachi,RU
GDH,3Z8,Golden Horn Lodge SPB,US
GDI,FEGL,Gordil,CF
GDJ,FZWC,Gandajika,CD
GDL,MMGL,Don Miguel Hidal Y Costilla International Airport,MX
GDM,KGDM,Municipal,US
GDN,EPGD,Gdansk Lech Walesa Airport,PL
GDO,SVGD,Vare Maria,VE
GDP,SNGD,Guadalupe,BR
GDQ,HAGN,Gondar Airport,ET
GDR,SDAG,Angra dos Reis Airport,BR
GDT,MBGT,Grand Turk Island,TC
GDV,KGDV,Dawson Community Airport,US
GDW,KGDW,Gladwin,US
GDX,UHMM,Magadan Airport,RU
GDZ,URKG,Gelendzik Airport,RU
GEA,NWWM,Noumea Magenta Airport,NC
GEB,WAMJ,Gebe,ID
GEC,LCGK,Gecitkale,CY
GED,KGED,Sussex County,US
GEE,YGTO,George Town,AU
GEF,AGEV,Geva Airstrip,SB
GEG,KGEG,Spokane International Airport,US
GEL,SBNM,Sepe Tiaraju,BR
GEM,FGMY,President Obiang Nguema International Airport,GQ
GEO,SYCJ,Cheddi Jagan International Airport,GY
GER,MUNG,Rafael Cabrera Airport,CU
GES,RPMR,General Santos International Airport,PH
GET,YGEL,Geraldton Airport,AU
GEV,ESNG,Gallivare Airport,SE
GEW,AYGC,Gewoia,PG
GEX,YGLG,Geelong,AU
GEY,KGEY,South Big Horn County,US
GFD,KGFD,Pope Field,US
GFE,YGNF,Grenfell,AU
GFF,YGTH,Griffith Airport,AU
GFK,KGFK,Grand Forks International Airport,US
GFL,KGFL,Warren County,US
GFN,YGFN,Grafton Airport,AU
GFO,SYBT,Bartica,GY
GFR,LFRF,Granville,FR
GFY,FYGF,Grootfontein,NA
GGC,FNBL,Lumbala,AO
GGD,YGDS,Gregory Downs,AU
GGE,KGGE,Georgetown,US
GGG,KGGG,Gregg County Airport,US
GGJ,SSGY,Guaíra Airport,BR
GGM,HKKG,Kakamega Airport,KE
GGN,DIGA,Gagnoa,CI
GGO,DIGL,Guiglo,CI
GGR,HCMW,Garoe,SO
GGS,SAWR,Gobernador Gregores,AR
GGT,MYEF,Exuma International Airport,BS
GGW,KGGW,Glasgow International Airport,US
GHA,DAUG,Noumerate Airport,DZ
GHB,MYEM,Governor's Harbour Airport,BS
GHC,MYBG,Great Harbour,BS
GHF,EDQG,Giebelstadt,DE
GHK,CGK2,Gahcho Kue Aerodrome,CA
GHM,KGHM,Municipal,US
GHN,ZUGH,Guanghan,CN
GHT,HLGT,Ghat,LY
GHU,SAAG,Gualeguaychu,AR
GIB,LXGB,North Front Airport,GI
GIC,YBOI,Boigu Island,AU
GID,HBBE,Gitega,BI
GIF,KGIF,Gilbert Field,US
GIG,SBGL,Galeao Antonio Carlos Jobim International Airport,BR
GII,GUSI,Siguiri,GN
GIL,OPGT,Gilgit Airport,PK
GIR,SKGI,Girardot,CO
GIS,NZGS,Gisborne Airport,NZ
GIT,HTRU,Geita,TZ
GIU,VCCS,Sigiriya Slaf Base,LK
GIY,FAGI,Giyani,ZA
GIZ,OEGN,Jazan Regional Airport,SA
GJA,MHNJ,Guanaja,HN
GJL,DAAV,Jijel Ferhat Abbas Airport,DZ
GJM,SBGM,Guajara-Mirim,BR
GJR,BIGJ,Gjogur,IS
GJT,KGJT,Grand Junction Regional Airport,US
GKA,AYGA,Goroka Airport,PG
GKD,LTFK,Gokceada,TR
GKE,ETNG,Geilenkirchen,DE
GKH,VNGK,Gorkha,NP
GKK,VRMO,Kooddoo Airport,MV
GKL,YGKL,Great Keppel Island,AU
GKN,PAGK,Gulkana,US
GKT,KGKT,Gatlinburg,US
GLA,EGPF,Glasgow International Airport,GB
GLC,HAGL,Geladi,ET
GLD,KGLD,Renner Field,US
GLE,KGLE,Municipal,US
GLF,MRGF,Golfito Airport,CR
GLG,YGLE,Glengyle,AU
GLH,KGLH,Greenville Airport,US
GLI,YGLI,Glen Innes,AU
GLK,HCMR,Galcaio,SO
GLL,ENKL,Klanten Airport,NO
GLM,YGLO,Glenormiston,AU
GLN,GMAG,Goulimime Airport,MA
GLO,EGBJ,Gloucestershire,GB
GLP,AYUP,Gulgubip,PG
GLR,KGLR,Otsego County,US
GLS,KGLS,Scholes Field,US
GLT,YGLA,Gladstone Airport,AU
GLU,VQGP,Gelephu Airport,BT
GLV,PAGL,Golovin Airport,US
GLW,KGLW,Municipal,US
GLX,WAMA,Galela,ID
GLZ,EHGR,Gilze-Rijen,NL
GMA,FZFK,Gemena,CD
GMB,HAGM,Gambela Airport,ET
GMD,GMMB,Ben Slimane,MA
GME,UMGG,Gomel Airport,BY
GMI,AYGT,Gasmata Island,PG
GMM,FCOG,Gamboma,CG
GMN,NZGM,Greymouth,NZ
GMO,DNGO,Gombe Lawanti International Airport,NG
GMP,RKSS,Gimpo International Airport,KR
GMQ,ZLGL,Golog Maqin Airport,CN
GMR,NTGJ,Gambier Island,PF
GMS,SNYW,Guimaraes,BR
GMT,PAGZ,Granite Mountain,US
GMU,KGMU,Greenville Downtown,US
GMV,UT25,Monument Valley,US
GMZ,GCGM,La Gomera Airport,ES
GNA,UMMG,Grodno Airport,BY
GNB,LFLS,Grenoble-Isere Airport,FR
GND,TGPY,Maurice Bishop International Airport,GD
GNG,KGNG,Gooding,US
GNI,RCGI,Green Island,TW
GNJ,UBBG,Ganja International Airport,AZ
GNM,SNGI,Guanambi,BR
GNN,HAGH,Ghinnir,ET
GNR,SAHR,General Roca,AR
GNS,WIMB,Gunungsitoli Airport,ID
GNT,KGNT,Milan,US
GNU,GNU,Goodnews Bay,US
GNV,KGNV,Gainesville Regional Airport,US
GNY,LTCS,Sanliurfa GAP Airport,TR
GNZ,FBGZ,Ghanzi,BW
GOA,LIMJ,Genoa Cristoforo Colombo Airport,IT
GOB,HAGB,Goba,ET
GOC,AYGX,Gora,PG
GOE,AYGL,Gonalia,PG
GOG,FYGB,Gobabis,NA
GOH,BGGH,Nuuk Airport,GL
GOI,VOGO,Dabolim Airport,IN
GOJ,UWGG,Nizhny Novgorod International Airport,RU
GOK,KGOK,Guthrie,US
GOL,K4S1,State,US
GOM,FZNA,Goma Airport,CD
GON,KGON,New London,US
GOO,YGDI,Goondiwindi,AU
GOP,VEGK,Gorakhpur Airport,IN
GOQ,ZLGM,Golmud Airport,CN
GOR,HAGR,Gore,ET
GOT,ESGG,Goteborg Landvetter Airport,SE
GOU,FKKR,Garoua Airport,CM
GOV,YPGV,Nhulunbuy Airport,AU
GOX,VOGA,Mopa Airport,IN
GOY,UNIT,Tura Airport,RU
GOZ,LBGO,Gorna Oriahovitsa,BG
GPA,LGRX,Araxos Airport,GR
GPB,SSGG,Tancredo Thomaz Faria,BR
GPD,YGON,Mount Gordon Mine,AU
GPI,SKGP,Guapi Airport,CO
GPL,MRGP,Guapiles,CR
GPN,YGPT,Garden Point,AU
GPO,SAZG,General Pico,AR
GPS,SEGS,Baltra Airport,EC
GPT,KGPT,Gulfport-Biloxi International Airport,US
GPZ,KGPZ,Grand Rapids,US
GQQ,KGQQ,Galion,US
GRB,KGRB,Austin Straubel International Airport,US
GRD,KGRD,Greenwood,US
GRE,KGRE,Municipal,US
GRF,KGRF,Gray AAF,US
GRG,OAGZ,Gardez,AF
GRI,KGRI,Grand Island Airport,US
GRJ,FAGG,George Airport,ZA
GRK,KGRK,Robert Gray Army Airfield,US
GRL,AYGG,Garasa,PG
GRM,KCKC,Devils Track,US
GRN,KGRN,Gordon,US
GRO,LEGE,Girona-Costa Brava Airport,ES
GRP,SWGI,Gurupi,BR
GRQ,EHGG,Eelde Airport,NL
GRR,KGRR,Gerald R. Ford International Airport,US
GRS,LIRS,Baccarini,IT
GRU,SBGR,Sao Paulo-Guarulhos International Airport,BR
GRV,URMG,Groznyy Airport,RU
GRW,LPGR,Graciosa Island Airport,PT
GRX,LEGR,Granada Airport,ES
GRY,BIGR,Grimsey,IS
GRZ,LOWG,Graz Airport,AT
GSA,WBKN,Long Pasia,MY
GSB,KGSB,Seymour Johnson AFB,US
GSC,YGSC,Gascoyne Junction,AU
GSE,ESGP,Gothenburg City Airport,SE
GSH,KGSH,Goshen,US
GSI,SOGS,Guadalcanal,SB
GSJ,MGSJ,Puerto San Jose,GT
GSL,CFA7,Taltheilei Narrows,CA
GSM,OIKQ,Dayrestan Airport,IR
GSN,YMGN,Mount Gunson,AU
GSO,KGSO,Piedmont Triad International Airport,US
GSP,KGSP,Greenville-Spartanburg International Airport,US
GSQ,HEOW,Shark Elowainat,EG
GSR,HCMG,Gardo,SO
GSS,FASE,Sabi Sabi,ZA
GST,PAGS,Gustavus Airport,US
GSU,HSGF,Gedaref,SD
GTA,AGOK,Gatokae Aerodrom,SB
GTE,YGTE,Alyangula Airport,AU
GTF,KGTF,Great Falls International Airport,US
GTG,KGTG,Municipal,US
GTI,EDCG,Guettin,DE
GTN,NZGT,Glentanner,NZ
GTO,WAMG,Tolotio Airport,ID
GTP,KSXT,Grants Pass,US
GTR,KGTR,Golden Triangle Regional Airport,US
GTS,YTGT,Granites,AU
GTT,YGTN,Georgetown Airport,AU
GTW,LKHO,Holesov,CZ
GTY,W05,Gettysburg,US
GTZ,HTGR,Kirawira B,TZ
GUA,MGGT,La Aurora International Airport,GT
GUB,MMGR,Guerrero Negro,MX
GUC,KGUC,Gunnison Airport,US
GUD,GAGM,Goundam,ML
GUF,KJKA,Edwards,US
GUG,AYGF,Guari,PG
GUH,YGDH,Gunnedah,AU
GUI,SVGI,Guiria,VE
GUJ,SBGW,Guaratingueta,BR
GUL,YGLB,Goulburn,AU
GUM,PGUM,A.B. Won Pat International Airport,GU
GUO,MHJI,Gualaco,HN
GUP,KGUP,Senator Clark,US
GUQ,SVGU,Guanare,VE
GUR,AYGN,Gurney Airport,PG
GUS,KGUS,Grissom AFB,US
GUT,ETUO,Guetersloh,DE
GUU,BIGF,Grundarfjordur,IS
GUV,AYML,Mougulu,PG
GUW,UATG,Atyrau Airport,KZ
GUX,VAGN,Guna,IN
GUY,KGUY,Guymon,US
GUZ,SNGA,Guarapari,BR
GVA,LSGG,Geneve Airport,CH
GVE,KGVE,Municipal,US
GVI,AYGV,Green River,PG
GVL,KGVL,Lee Gilmer Memorial,US
GVN,UHKM,May-Gatka,RU
GVP,YGNV,Greenvale,AU
GVR,SBGV,Governador Valadares Airport,BR
GVT,KGVT,Majors Field,US
GVX,ESSK,Sandviken,SE
GWA,VYGW,Gwa,MM
GWD,OPGD,Gwadar Airport,PK
GWE,FVTL,Gweru,ZW
GWL,VIGR,Gwalior Airport,IN
GWO,KGWO,Leflore,US
GWS,KGWS,Glenwood Springs,US
GWT,EDXW,Westerland - Sylt Airport,DE
GWV,WV66,Glendale,US
GWY,EICM,Carnmore,IE
GXF,OYSY,Seiyun,YE
GXG,FNNG,Negage,AO
GXH,ZLXH,Gannan Xiahe Airport,CN
GXQ,SCCY,Ten. Vidal,CL
GXX,FKKJ,Yagoua,CM
GXY,KGXY,Weld County,US
GYA,SLGY,Guayaramerin Airport,BO
GYD,UBBB,Heydar Aliyev International Airport,AZ
GYE,SEGU,Jose Joaquin de Olmedo Airport,EC
GYG,UEMM,Magan Airport,RU
GYI,HRYG,Gisenyi,RW
GYL,YARG,Argyle,AU
GYM,MMGM,Gen Jose M Yanez,MX
GYN,SBGO,Santa Genoveva Airport,BR
GYO,WIMG,Bandar Udara Senubung,ID
GYP,YGYM,Gympie,AU
GYR,KGYR,Litchfield,US
GYS,ZUGU,Guang Yuan Airport,CN
GYU,ZLGY,Guyuan Liupanshan Airport,CN
GYZ,YGRM,Gruyere Mine Airport,AU
GZA,LVGZ,Gaza - Yaser Arafat International Airport,PS
GZG,ZUGZ,Garze Gesar Airport,CN
GZI,OAGN,Ghazni,AF
GZO,AGGN,Gizo Airport,SB
GZP,LTFG,Gazipasa Airport,TR
GZT,LTAJ,Gaziantep Airport,TR
GZW,OIIK,Ghazvin,IR
HAA,ENHK,Hasvik Airport,NO
HAB,KHAB,Marion County,US
HAC,RJTH,Hachijo Jima Airport,JP
HAD,ESMT,Halmstad Airport,SE
HAF,KHAF,Half Moon,US
HAH,FMCH,Prince Said Ibrahim Internatonal Airport,KM
HAI,KHAI,Dr Haines,US
HAJ,EDDV,Hannover Airport,DE
HAK,ZJHK,Haikou Airport,CN
HAL,FYHI,Halali,NA
HAM,EDDH,Hamburg Airport,DE
HAN,VVNB,Noi Bai International Airport,VN
HAO,KHAO,Hamilton,US
HAQ,VRMH,Hanimaadhoo Airport,MV
HAR,KCXY,Capital City,US
HAS,OEHL,Hail Airport,SA
HAT,YHTL,Heathlands,AU
HAU,ENHD,Haugesund Airport,NO
HAV,MUHA,Jose Marti International Airport,CU
HAW,EGFE,Haverfordwest,GB
HAY,HAY,Haycock,US
HBA,YMHB,Hobart International Airport,AU
HBB,NM83,Industrial Airpark,US
HBD,AYHB,Habi,PG
HBE,HEBA,Borg El Arab Airport,EG
HBG,KHBG,The Hattiesburg-Bobby L. Chain Mun.,US
HBK,P14,Holbrook Municipal,US
HBR,KHBR,Hobart,US
HBU,ZMBS,Bulgan Hovd,MN
HBX,VOHB,Hubli Airport,IN
HCA,KHCA,Howard County,US
HCC,1B1,Columbia County,US
HCJ,ZGHC,Hechi Jinchengjiang Airport,CN
HCM,HCME,Eil,SO
HCN,RCKW,Hengchun,TW
HCQ,YHLC,Halls Creek,AU
HCR,PAHC,Holy Cross Airport,US
HCW,KCQW,Cheraw,US
HCZ,ZGCZ,Chenzhou Beihu Airport,CN
HDB,ETIE,Airfield Heidelberg,DE
HDD,OPKD,Hyderabad,PK
HDE,KHDE,Brewster Field,US
HDF,EDAH,Heringsdorf Airport,DE
HDG,ZBHD,Handan Airport,CN
HDH,PHDH,Dillingham Airfield,US
HDK,VRBK,Kulhudhuffushi Airport,MV
HDM,OIHH,Hamadan Airport,IR
HDN,KHDN,Yampa Valley Airport,US
HDR,OIKP,Havadarya,IR
HDS,FAHS,Hoedspruit Airport,ZA
HDY,VTSS,Hat Yai International Airport,TH
HEA,OAHR,Herat International Airport,AF
HEB,VYHT,Henzada,MM
